strength,naive_te_mean,naive_te_median,conditional_te_mean,conditional_te_median,conditioning_reduction_vs_naive
0.0000000000,0.0014448582,0.0013062627,0.0046129671,0.0045404003,-2.1926780578
0.3000000000,0.0029578579,0.0029076211,0.0046611296,0.0048353948,-0.5758463476
0.6000000000,0.0096542938,0.0100249522,0.0052708482,0.0050842944,0.4540410414
0.9000000000,0.0151055721,0.0148173314,0.0061833930,0.0059913327,0.5906548287
1.2000000000,0.0175413734,0.0175653472,0.0072530960,0.0070943029,0.5865149318
