arm,mean,median,p05,p95,max,min,fraction_gt_1,fraction_gt_2
control,0.0191434200,0.0072093710,-0.3336535779,0.3951163900,0.5669278566,-0.6345538118,0.0000000000,0.0000000000
centered_window,2.7963936376,2.7905806033,2.3587761321,3.1181611764,3.4621011826,2.2008151041,1.0000000000,1.0000000000
same_session,21.0168731943,21.0228007883,20.5893787807,21.4966977681,21.7081226189,20.5505101051,1.0000000000,1.0000000000
retrospective_threshold,0.1914599326,0.1677535584,-0.1528690145,0.5226469670,0.7158182419,-0.4205573635,0.0000000000,0.0000000000
survivorship_selection_50,0.5545675148,0.5489273551,0.3874772057,0.8108358676,1.0144070528,0.3123583454,0.0100000000,0.0000000000
